id,image_name,image_path,item_category,weather_label,formality_label,vote
1,IMG_8983,Accessories/IMG_8983.jpg,accessories,2,8,0
2,IMG_8984,Accessories/IMG_8984.jpg,accessories,2,0,0
3,IMG_8985,Accessories/IMG_8985.jpg,accessories,2,9,0
4,IMG_8987,Accessories/IMG_8987.jpg,accessories,2,11,0
5,IMG_8988,Accessories/IMG_8988.jpg,accessories,2,14,0
6,IMG_8996,Accessories/IMG_8996.jpg,accessories,2,0,0
7,IMG_8942,Bottoms/IMG_8942.jpg,bottoms,1,5,-1
8,IMG_8946,Bottoms/IMG_8946.jpg,bottoms,3,10,0
9,IMG_8962,Bottoms/IMG_8962.jpg,bottoms,1,4,0
10,IMG_8966,Bottoms/IMG_8966.jpg,bottoms,7,5,0
11,IMG_8968,Bottoms/IMG_8968.jpg,bottoms,1,5,0
12,IMG_8969,Bottoms/IMG_8969.jpg,bottoms,7,4,5
13,IMG_8979,Bottoms/IMG_8979.jpg,bottoms,1,4,1
14,IMG_9002,Bottoms/IMG_9002.jpg,bottoms,5,5,-2
15,IMG_9003,Bottoms/IMG_9003.jpg,bottoms,3,15,0
16,IMG_9004,Bottoms/IMG_9004.jpg,bottoms,7,13,0
17,IMG_9005,Bottoms/IMG_9005.jpg,bottoms,1,5,0
18,IMG_9006,Bottoms/IMG_9006.jpg,bottoms,1,5,0
19,IMG_9007,Bottoms/IMG_9007.jpg,bottoms,1,4,0
20,IMG_9008,Bottoms/IMG_9008.jpg,bottoms,2,15,0
21,IMG_9009,Bottoms/IMG_9009.jpg,bottoms,2,11,-4
22,IMG_9010,Bottoms/IMG_9010.jpg,bottoms,0,4,0
23,IMG_9011,Bottoms/IMG_9011.jpg,bottoms,7,13,0
24,IMG_9014,Bottoms/IMG_9014.jpg,bottoms,1,9,0
25,IMG_9015,Bottoms/IMG_9015.jpg,bottoms,7,15,0
26,IMG_9043,Bottoms/IMG_9043.jpg,bottoms,7,15,0
27,IMG_9061,Bottoms/IMG_9061.jpg,bottoms,7,5,0
28,IMG_9062,Bottoms/IMG_9062.jpg,bottoms,7,5,0
29,IMG_9063,Bottoms/IMG_9063.jpg,bottoms,7,5,0
30,IMG_9064,Bottoms/IMG_9064.jpg,bottoms,7,5,0
31,IMG_8923,Outerwear/IMG_8923.jpg,outerwear,2,1,0
32,IMG_8924,Outerwear/IMG_8924.jpg,outerwear,6,9,0
33,IMG_8925,Outerwear/IMG_8925.jpg,outerwear,2,0,0
34,IMG_8926,Outerwear/IMG_8926.jpg,outerwear,6,0,0
35,IMG_8927,Outerwear/IMG_8927.jpg,outerwear,6,0,0
36,IMG_8928,Outerwear/IMG_8928.jpg,outerwear,7,0,0
37,IMG_8929,Outerwear/IMG_8929.jpg,outerwear,6,12,0
38,IMG_8930,Outerwear/IMG_8930.jpg,outerwear,6,8,0
39,IMG_8931,Outerwear/IMG_8931.jpg,outerwear,3,14,0
40,IMG_8932,Outerwear/IMG_8932.jpg,outerwear,6,4,0
41,IMG_8933,Outerwear/IMG_8933.jpg,outerwear,7,4,0
42,IMG_8945,Outerwear/IMG_8945.jpg,outerwear,2,5,0
43,IMG_8948,Outerwear/IMG_8948.jpg,outerwear,6,4,0
44,IMG_8980,Outerwear/IMG_8980.jpg,outerwear,2,0,0
45,IMG_8981,Outerwear/IMG_8981.jpg,outerwear,2,12,0
46,IMG_8982,Outerwear/IMG_8982.jpg,outerwear,2,10,0
47,IMG_8986,Outerwear/IMG_8986.jpg,outerwear,2,5,0
48,IMG_8989,Outerwear/IMG_8989.jpg,outerwear,6,13,0
49,IMG_8990,Outerwear/IMG_8990.jpg,outerwear,7,13,0
50,IMG_8991,Outerwear/IMG_8991.jpg,outerwear,2,5,0
51,IMG_8992,Outerwear/IMG_8992.jpg,outerwear,2,5,0
52,IMG_8993,Outerwear/IMG_8993.jpg,outerwear,6,13,0
53,IMG_8994,Outerwear/IMG_8994.jpg,outerwear,6,3,0
54,IMG_8995,Outerwear/IMG_8995.jpg,outerwear,2,0,0
55,IMG_8997,Outerwear/IMG_8997.jpg,outerwear,6,5,0
56,IMG_8998,Outerwear/IMG_8998.jpg,outerwear,7,13,0
57,IMG_8999,Outerwear/IMG_8999.jpg,outerwear,6,4,0
58,IMG_9001,Outerwear/IMG_9001.jpg,outerwear,6,0,0
59,IMG_9028,Outerwear/IMG_9028.jpg,outerwear,2,12,0
60,IMG_9029,Outerwear/IMG_9029.jpg,outerwear,2,5,0
61,IMG_9069,Outerwear/IMG_9069.jpg,outerwear,2,14,0
62,IMG_9082,Shoes/IMG_9082.jpg,shoes,0,4,0
63,IMG_9083,Shoes/IMG_9083.jpg,shoes,0,5,0
64,IMG_9084,Shoes/IMG_9084.jpg,shoes,0,9,0
65,IMG_9085,Shoes/IMG_9085.jpg,shoes,0,10,0
66,IMG_9086,Shoes/IMG_9086.jpg,shoes,0,4,0
67,IMG_9087,Shoes/IMG_9087.jpg,shoes,1,9,0
68,IMG_9088,Shoes/IMG_9088.jpg,shoes,0,4,-1
69,IMG_9089,Shoes/IMG_9089.jpg,shoes,0,4,0
70,IMG_9090,Shoes/IMG_9090.jpg,shoes,0,4,0
71,IMG_9091,Shoes/IMG_9091.jpg,shoes,0,0,-6
72,IMG_9092,Shoes/IMG_9092.jpg,shoes,0,4,0
73,IMG_9093,Shoes/IMG_9093.jpg,shoes,0,11,0
74,IMG_9094,Shoes/IMG_9094.jpg,shoes,0,11,0
75,IMG_9095,Shoes/IMG_9095.jpg,shoes,0,0,0
76,IMG_9096,Shoes/IMG_9096.jpg,shoes,0,4,0
77,IMG_9097,Shoes/IMG_9097.jpg,shoes,0,0,0
78,IMG_9098,Shoes/IMG_9098.jpg,shoes,0,8,0
79,IMG_9099,Shoes/IMG_9099.jpg,shoes,0,4,6
80,IMG_8941,Tops/IMG_8941.jpg,tops,1,8,0
81,IMG_8947,Tops/IMG_8947.jpg,tops,1,12,0
82,IMG_8949,Tops/IMG_8949.jpg,tops,1,12,-2
83,IMG_8950,Tops/IMG_8950.jpg,tops,0,0,0
84,IMG_8951,Tops/IMG_8951.jpg,tops,0,12,0
85,IMG_8952,Tops/IMG_8952.jpg,tops,1,4,0
86,IMG_8953,Tops/IMG_8953.jpg,tops,1,0,0
87,IMG_8954,Tops/IMG_8954.jpg,tops,6,4,3
88,IMG_8956,Tops/IMG_8956.jpg,tops,7,4,0
89,IMG_8957,Tops/IMG_8957.jpg,tops,1,4,-4
90,IMG_8958,Tops/IMG_8958.jpg,tops,0,4,0
91,IMG_8959,Tops/IMG_8959.jpg,tops,3,14,0
92,IMG_8960,Tops/IMG_8960.jpg,tops,1,12,-1
93,IMG_8961,Tops/IMG_8961.jpg,tops,0,8,0
94,IMG_8963,Tops/IMG_8963.jpg,tops,3,13,0
95,IMG_8964,Tops/IMG_8964.jpg,tops,0,0,0
96,IMG_8965,Tops/IMG_8965.jpg,tops,7,13,0
97,IMG_8967,Tops/IMG_8967.jpg,tops,1,12,3
98,IMG_8970,Tops/IMG_8970.jpg,tops,0,5,0
99,IMG_8971,Tops/IMG_8971.jpg,tops,1,9,0
100,IMG_8972,Tops/IMG_8972.jpg,tops,1,12,0
101,IMG_8973,Tops/IMG_8973.jpg,tops,2,0,0
102,IMG_8974,Tops/IMG_8974.jpg,tops,0,8,0
103,IMG_8975,Tops/IMG_8975.jpg,tops,1,8,0
104,IMG_8976,Tops/IMG_8976.jpg,tops,7,8,0
105,IMG_8977,Tops/IMG_8977.jpg,tops,0,0,0
106,IMG_8978,Tops/IMG_8978.jpg,tops,0,12,0
107,IMG_9016,Tops/IMG_9016.jpg,tops,7,14,0
108,IMG_9017,Tops/IMG_9017.jpg,tops,2,14,0
109,IMG_9018,Tops/IMG_9018.jpg,tops,7,10,0
110,IMG_9019,Tops/IMG_9019.jpg,tops,3,14,0
111,IMG_9020,Tops/IMG_9020.jpg,tops,7,15,0
112,IMG_9021,Tops/IMG_9021.jpg,tops,6,0,0
113,IMG_9022,Tops/IMG_9022.jpg,tops,2,8,0
114,IMG_9023,Tops/IMG_9023.jpg,tops,3,10,0
115,IMG_9024,Tops/IMG_9024.jpg,tops,7,4,0
116,IMG_9025,Tops/IMG_9025.jpg,tops,7,4,0
117,IMG_9026,Tops/IMG_9026.jpg,tops,6,14,0
118,IMG_9027,Tops/IMG_9027.jpg,tops,7,15,0
119,IMG_9030,Tops/IMG_9030.jpg,tops,1,8,0
120,IMG_9031,Tops/IMG_9031.jpg,tops,1,10,0
121,IMG_9032,Tops/IMG_9032.jpg,tops,1,8,0
122,IMG_9033,Tops/IMG_9033.jpg,tops,1,14,0
123,IMG_9034,Tops/IMG_9034.jpg,tops,1,15,0
124,IMG_9035,Tops/IMG_9035.jpg,tops,0,10,0
125,IMG_9036,Tops/IMG_9036.jpg,tops,1,11,0
126,IMG_9037,Tops/IMG_9037.jpg,tops,7,15,0
127,IMG_9038,Tops/IMG_9038.jpg,tops,3,12,0
128,IMG_9039,Tops/IMG_9039.jpg,tops,0,0,0
129,IMG_9040,Tops/IMG_9040.jpg,tops,7,10,0
130,IMG_9041,Tops/IMG_9041.jpg,tops,0,8,0
131,IMG_9042,Tops/IMG_9042.jpg,tops,3,13,0
132,IMG_9044,Tops/IMG_9044.jpg,tops,0,0,0
133,IMG_9045,Tops/IMG_9045.jpg,tops,0,2,0
134,IMG_9046,Tops/IMG_9046.jpg,tops,0,0,0
135,IMG_9047,Tops/IMG_9047.jpg,tops,0,0,0
136,IMG_9048,Tops/IMG_9048.jpg,tops,1,15,0
137,IMG_9049,Tops/IMG_9049.jpg,tops,1,4,0
138,IMG_9050,Tops/IMG_9050.jpg,tops,0,4,0
139,IMG_9052,Tops/IMG_9052.jpg,tops,0,4,0
140,IMG_9053,Tops/IMG_9053.jpg,tops,2,13,0
141,IMG_9054,Tops/IMG_9054.jpg,tops,7,12,0
142,IMG_9055,Tops/IMG_9055.jpg,tops,7,13,0
143,IMG_9056,Tops/IMG_9056.jpg,tops,7,12,0
144,IMG_9057,Tops/IMG_9057.jpg,tops,7,12,0
145,IMG_9058,Tops/IMG_9058.jpg,tops,1,12,0
146,IMG_9059,Tops/IMG_9059.jpg,tops,0,8,0
147,IMG_9060,Tops/IMG_9060.jpg,tops,1,4,0
148,IMG_9065,Tops/IMG_9065.jpg,tops,7,13,0
149,IMG_9066,Tops/IMG_9066.jpg,tops,7,8,0
150,IMG_9067,Tops/IMG_9067.jpg,tops,7,8,0
151,IMG_9068,Tops/IMG_9068.jpg,tops,7,13,0
152,IMG_9071,Tops/IMG_9071.jpg,tops,7,14,0
153,IMG_9072,Tops/IMG_9072.jpg,tops,0,0,0
154,IMG_9073,Tops/IMG_9073.jpg,tops,0,12,0
155,IMG_9074,Tops/IMG_9074.jpg,tops,1,4,0
156,IMG_9075,Tops/IMG_9075.jpg,tops,0,0,0
157,IMG_9076,Tops/IMG_9076.jpg,tops,7,13,0
158,IMG_9077,Tops/IMG_9077.jpg,tops,2,4,0
159,IMG_9078,Tops/IMG_9078.jpg,tops,2,12,0
160,IMG_9550.jpg,new_data/IMG_9550.jpg,bottoms,2,9,0
161,IMG_9551.jpg,new_data/IMG_9551.jpg,tops,1,9,0
